Channel              :,CH1,CH2
Frequency            :,1.000kHz,1.000kHz
Period               :,1.000ms,1.000ms
PK-PK                :,5.920V,2.000V
Probe attenuation    :,1X,1X
Voltage per ADC value:,2.500000mV,2.500000mV
Time interval        :,0.40000uS,0.40000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
256,3000.000000,960.000000
257,2960.000000,960.000000
258,2960.000000,960.000000
259,3000.000000,960.000000
260,2960.000000,960.000000
261,2960.000000,960.000000
262,2960.000000,960.000000
263,2960.000000,960.000000
264,2960.000000,960.000000
265,2960.000000,960.000000
266,2960.000000,960.000000
267,2960.000000,960.000000
268,2960.000000,960.000000
269,3000.000000,960.000000
270,3000.000000,960.000000
271,2960.000000,960.000000
272,2960.000000,960.000000
273,2960.000000,1000.000000
274,2960.000000,1000.000000
275,2960.000000,1000.000000
276,3000.000000,960.000000
277,3000.000000,960.000000
278,3000.000000,960.000000
279,2960.000000,1000.000000
280,3000.000000,1000.000000
281,2960.000000,960.000000
282,2960.000000,960.000000
283,2960.000000,1000.000000
284,2960.000000,960.000000
285,2960.000000,1000.000000
286,3000.000000,960.000000
287,3000.000000,1000.000000
288,2960.000000,960.000000
289,2960.000000,960.000000
290,3000.000000,960.000000
291,3000.000000,1000.000000
292,2960.000000,960.000000
293,3000.000000,960.000000
294,3000.000000,960.000000
295,3000.000000,1000.000000
296,2960.000000,960.000000
297,2960.000000,1000.000000
298,3000.000000,960.000000
299,3000.000000,960.000000
300,3000.000000,1000.000000
301,3000.000000,960.000000
302,3000.000000,960.000000
303,3000.000000,960.000000
304,2960.000000,960.000000
305,3000.000000,1000.000000
306,3000.000000,960.000000
307,2960.000000,960.000000
308,3000.000000,960.000000
309,2960.000000,960.000000
310,2960.000000,960.000000
311,3000.000000,960.000000
312,2960.000000,960.000000
313,3000.000000,1000.000000
314,3000.000000,960.000000
315,3000.000000,1000.000000
316,2960.000000,1000.000000
317,3000.000000,960.000000
318,3000.000000,1000.000000
319,3000.000000,1000.000000
320,2960.000000,1000.000000
321,2960.000000,960.000000
322,3000.000000,960.000000
323,3000.000000,1000.000000
324,3000.000000,960.000000
325,3000.000000,1000.000000
326,2960.000000,960.000000
327,3000.000000,960.000000
328,3000.000000,960.000000
329,3000.000000,960.000000
330,3000.000000,960.000000
331,3000.000000,960.000000
332,2960.000000,960.000000
333,3000.000000,960.000000
334,2960.000000,960.000000
335,2960.000000,960.000000
336,3000.000000,960.000000
337,2960.000000,960.000000
338,2960.000000,1000.000000
339,2960.000000,960.000000
340,2960.000000,960.000000
341,2960.000000,960.000000
342,2960.000000,1000.000000
343,2960.000000,960.000000
344,3000.000000,1000.000000
345,2960.000000,960.000000
346,2960.000000,960.000000
347,2960.000000,960.000000
348,2960.000000,960.000000
349,2960.000000,1000.000000
350,2960.000000,1000.000000
351,2960.000000,960.000000
352,2960.000000,1000.000000
353,2960.000000,960.000000
354,2960.000000,960.000000
355,2960.000000,1000.000000
356,2960.000000,960.000000
357,2960.000000,960.000000
358,2960.000000,960.000000
359,2920.000000,960.000000
360,2960.000000,960.000000
361,2960.000000,1000.000000
362,2960.000000,960.000000
363,2960.000000,960.000000
364,2960.000000,960.000000
365,2960.000000,960.000000
366,2960.000000,960.000000
367,2960.000000,960.000000
368,2960.000000,960.000000
369,2960.000000,960.000000
370,2920.000000,960.000000
371,2960.000000,960.000000
372,2960.000000,960.000000
373,2960.000000,960.000000
374,2960.000000,960.000000
375,2960.000000,960.000000
376,2920.000000,960.000000
377,2960.000000,960.000000
378,2960.000000,960.000000
379,2920.000000,960.000000
380,2920.000000,960.000000
381,2920.000000,960.000000
382,2920.000000,960.000000
383,2920.000000,920.000000
384,2920.000000,960.000000
385,2920.000000,960.000000
386,2920.000000,960.000000
387,2920.000000,960.000000
388,2920.000000,960.000000
389,2920.000000,960.000000
390,2920.000000,960.000000
391,2920.000000,960.000000
392,2920.000000,920.000000
393,2920.000000,960.000000
394,2920.000000,960.000000
395,2920.000000,960.000000
396,2920.000000,920.000000
397,2880.000000,960.000000
398,2920.000000,960.000000
399,2920.000000,960.000000
400,2880.000000,920.000000
401,2880.000000,960.000000
402,2880.000000,920.000000
403,2920.000000,920.000000
404,2880.000000,960.000000
405,2920.000000,960.000000
406,2880.000000,920.000000
407,2880.000000,920.000000
408,2920.000000,960.000000
409,2920.000000,960.000000
410,2880.000000,920.000000
411,2920.000000,920.000000
412,2880.000000,920.000000
413,2920.000000,920.000000
414,2880.000000,920.000000
415,2880.000000,920.000000
416,2880.000000,960.000000
417,2880.000000,920.000000
418,2880.000000,920.000000
419,2880.000000,960.000000
420,2880.000000,920.000000
421,2880.000000,920.000000
422,2880.000000,920.000000
423,2840.000000,920.000000
424,2840.000000,960.000000
425,2840.000000,920.000000
426,2840.000000,960.000000
427,2840.000000,920.000000
428,2840.000000,920.000000
429,2840.000000,960.000000
430,2880.000000,920.000000
431,2840.000000,920.000000
432,2840.000000,920.000000
433,2840.000000,960.000000
434,2840.000000,920.000000
435,2840.000000,960.000000
436,2840.000000,920.000000
437,2840.000000,920.000000
438,2840.000000,920.000000
439,2840.000000,960.000000
440,2840.000000,920.000000
441,2800.000000,920.000000
442,2840.000000,920.000000
443,2840.000000,920.000000
444,2800.000000,920.000000
445,2840.000000,920.000000
446,2840.000000,920.000000
447,2840.000000,920.000000
448,2800.000000,920.000000
449,2800.000000,880.000000
450,2840.000000,920.000000
451,2840.000000,960.000000
452,2800.000000,920.000000
453,2760.000000,920.000000
454,2800.000000,920.000000
455,2800.000000,920.000000
456,2800.000000,920.000000
457,2800.000000,920.000000
458,2760.000000,920.000000
459,2800.000000,920.000000
460,2760.000000,920.000000
461,2800.000000,920.000000
462,2760.000000,920.000000
463,2760.000000,920.000000
464,2800.000000,920.000000
465,2760.000000,920.000000
466,2760.000000,920.000000
467,2760.000000,920.000000
468,2760.000000,920.000000
469,2760.000000,920.000000
470,2720.000000,880.000000
471,2720.000000,880.000000
472,2720.000000,880.000000
473,2720.000000,920.000000
474,2760.000000,880.000000
475,2720.000000,920.000000
476,2720.000000,920.000000
477,2760.000000,880.000000
