Channel              :,CH1,CH2
Frequency            :,60.00Hz,59.97Hz
Period               :,16.67ms,16.67ms
PK-PK                :,8.200V?,1.080V
Probe attenuation    :,1X,1X
Voltage per ADC value:,2.500000mV,2.500000mV
Time interval        :,20.00000uS,20.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
126,-2320.000000,360.000000
127,-2320.000000,400.000000
128,-2320.000000,360.000000
129,-2360.000000,400.000000
130,-2400.000000,400.000000
131,-2400.000000,400.000000
132,-2440.000000,360.000000
133,-2400.000000,400.000000
134,-2440.000000,400.000000
135,-2440.000000,400.000000
136,-2440.000000,400.000000
137,-2480.000000,400.000000
138,-2480.000000,440.000000
139,-2520.000000,400.000000
140,-2480.000000,400.000000
141,-2560.000000,400.000000
142,-2560.000000,400.000000
143,-2560.000000,400.000000
144,-2560.000000,400.000000
145,-2600.000000,400.000000
146,-2600.000000,440.000000
147,-2600.000000,440.000000
148,-2600.000000,440.000000
149,-2600.000000,440.000000
150,-2640.000000,440.000000
151,-2640.000000,440.000000
152,-2680.000000,440.000000
153,-2680.000000,440.000000
154,-2680.000000,440.000000
155,-2680.000000,440.000000
156,-2720.000000,440.000000
157,-2720.000000,440.000000
158,-2760.000000,480.000000
159,-2760.000000,440.000000
160,-2760.000000,440.000000
161,-2800.000000,480.000000
162,-2800.000000,440.000000
163,-2800.000000,440.000000
164,-2800.000000,440.000000
165,-2800.000000,440.000000
166,-2800.000000,480.000000
167,-2800.000000,480.000000
168,-2840.000000,440.000000
169,-2840.000000,440.000000
170,-2840.000000,440.000000
171,-2840.000000,440.000000
172,-2880.000000,480.000000
173,-2880.000000,480.000000
174,-2880.000000,440.000000
175,-2920.000000,480.000000
176,-2920.000000,480.000000
177,-2920.000000,480.000000
178,-2960.000000,480.000000
179,-2920.000000,480.000000
180,-2920.000000,480.000000
181,-2960.000000,480.000000
182,-2920.000000,480.000000
183,-2960.000000,480.000000
184,-2960.000000,480.000000
185,-2960.000000,520.000000
186,-2960.000000,480.000000
187,-3000.000000,480.000000
188,-3000.000000,480.000000
189,-3000.000000,440.000000
190,-3000.000000,480.000000
191,-3000.000000,480.000000
192,-3000.000000,480.000000
193,-3000.000000,480.000000
194,-3000.000000,480.000000
195,-3000.000000,480.000000
196,-3040.000000,480.000000
197,-3040.000000,520.000000
198,-3040.000000,480.000000
199,-3040.000000,520.000000
200,-3040.000000,480.000000
201,-3040.000000,480.000000
202,-3080.000000,480.000000
203,-3040.000000,480.000000
204,-3040.000000,480.000000
205,-3040.000000,480.000000
206,-3080.000000,480.000000
207,-3040.000000,480.000000
208,-3080.000000,520.000000
209,-3120.000000,480.000000
210,-3080.000000,480.000000
211,-3080.000000,480.000000
212,-3080.000000,480.000000
213,-3080.000000,480.000000
214,-3080.000000,480.000000
215,-3080.000000,480.000000
216,-3080.000000,480.000000
217,-3080.000000,480.000000
218,-3080.000000,480.000000
219,-3080.000000,480.000000
220,-3080.000000,520.000000
221,-3080.000000,480.000000
222,-3080.000000,480.000000
223,-3080.000000,480.000000
224,-3080.000000,480.000000
225,-3080.000000,480.000000
226,-3080.000000,520.000000
227,-3080.000000,480.000000
228,-3080.000000,480.000000
229,-3080.000000,480.000000
230,-3080.000000,480.000000
231,-3080.000000,480.000000
232,-3080.000000,480.000000
233,-3080.000000,480.000000
234,-3040.000000,480.000000
235,-3040.000000,520.000000
236,-3080.000000,480.000000
237,-3040.000000,480.000000
238,-3080.000000,520.000000
239,-3040.000000,520.000000
240,-3040.000000,480.000000
241,-3040.000000,480.000000
242,-3040.000000,480.000000
243,-3040.000000,480.000000
244,-3000.000000,480.000000
245,-3040.000000,480.000000
246,-3000.000000,480.000000
247,-3000.000000,480.000000
248,-3040.000000,480.000000
249,-3000.000000,480.000000
250,-3040.000000,480.000000
251,-3000.000000,480.000000
252,-3000.000000,480.000000
253,-3000.000000,480.000000
254,-2960.000000,480.000000
255,-3000.000000,480.000000
256,-2960.000000,480.000000
257,-2960.000000,440.000000
258,-2960.000000,480.000000
259,-2960.000000,480.000000
260,-2960.000000,480.000000
261,-2920.000000,440.000000
262,-2920.000000,480.000000
263,-2920.000000,480.000000
264,-2920.000000,480.000000
265,-2880.000000,440.000000
266,-2920.000000,480.000000
267,-2920.000000,440.000000
268,-2880.000000,480.000000
269,-2880.000000,440.000000
270,-2880.000000,440.000000
271,-2880.000000,440.000000
272,-2880.000000,440.000000
273,-2840.000000,440.000000
274,-2840.000000,440.000000
275,-2840.000000,440.000000
276,-2840.000000,480.000000
277,-2800.000000,440.000000
278,-2760.000000,440.000000
279,-2800.000000,440.000000
280,-2800.000000,440.000000
281,-2760.000000,440.000000
282,-2800.000000,440.000000
283,-2760.000000,440.000000
284,-2720.000000,440.000000
285,-2760.000000,440.000000
286,-2720.000000,440.000000
287,-2720.000000,440.000000
288,-2680.000000,440.000000
289,-2680.000000,400.000000
290,-2680.000000,440.000000
291,-2640.000000,440.000000
292,-2680.000000,440.000000
293,-2640.000000,400.000000
294,-2640.000000,440.000000
295,-2600.000000,400.000000
296,-2600.000000,400.000000
297,-2600.000000,400.000000
298,-2560.000000,400.000000
299,-2560.000000,400.000000
300,-2520.000000,400.000000
301,-2520.000000,400.000000
302,-2520.000000,400.000000
303,-2520.000000,400.000000
304,-2480.000000,400.000000
305,-2480.000000,400.000000
306,-2480.000000,400.000000
307,-2480.000000,400.000000
308,-2400.000000,360.000000
309,-2440.000000,360.000000
310,-2400.000000,360.000000
311,-2400.000000,360.000000
312,-2360.000000,360.000000
313,-2360.000000,400.000000
314,-2360.000000,360.000000
315,-2320.000000,360.000000
316,-2320.000000,400.000000
317,-2320.000000,360.000000
