Channel              :,CH1,CH2
Frequency            :,1.000kHz,1.000kHz
Period               :,1.000ms,1.000ms
PK-PK                :,5.880V,1.040V
Probe attenuation    :,1X,1X
Voltage per ADC value:,2.500000mV,2.500000mV
Time interval        :,0.40000uS,0.40000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
238,1920.000000,-480.000000
239,1960.000000,-520.000000
240,1960.000000,-520.000000
241,1920.000000,-480.000000
242,1960.000000,-520.000000
243,1960.000000,-520.000000
244,1920.000000,-480.000000
245,1960.000000,-520.000000
246,1960.000000,-480.000000
247,1960.000000,-520.000000
248,2000.000000,-480.000000
249,1960.000000,-480.000000
250,1920.000000,-520.000000
251,1960.000000,-520.000000
252,1960.000000,-480.000000
253,1960.000000,-480.000000
254,2000.000000,-520.000000
255,1960.000000,-520.000000
256,2000.000000,-520.000000
257,2000.000000,-520.000000
258,2000.000000,-480.000000
259,2000.000000,-480.000000
260,2000.000000,-480.000000
261,2000.000000,-520.000000
262,2000.000000,-480.000000
263,1960.000000,-480.000000
264,2000.000000,-480.000000
265,2000.000000,-480.000000
266,2000.000000,-520.000000
267,2040.000000,-480.000000
268,2000.000000,-480.000000
269,2000.000000,-480.000000
270,2000.000000,-520.000000
271,2000.000000,-480.000000
272,2040.000000,-480.000000
273,2000.000000,-480.000000
274,2040.000000,-520.000000
275,2000.000000,-480.000000
276,2000.000000,-480.000000
277,2040.000000,-480.000000
278,2040.000000,-480.000000
279,2040.000000,-480.000000
280,2040.000000,-480.000000
281,2040.000000,-520.000000
282,2000.000000,-520.000000
283,2040.000000,-480.000000
284,2040.000000,-520.000000
285,2040.000000,-480.000000
286,2080.000000,-480.000000
287,2040.000000,-480.000000
288,2040.000000,-480.000000
289,2080.000000,-480.000000
290,2040.000000,-520.000000
291,2080.000000,-480.000000
292,2080.000000,-480.000000
293,2080.000000,-480.000000
294,2080.000000,-480.000000
295,2080.000000,-480.000000
296,2080.000000,-480.000000
297,2080.000000,-480.000000
298,2080.000000,-480.000000
299,2080.000000,-480.000000
300,2080.000000,-480.000000
301,2080.000000,-480.000000
302,2120.000000,-480.000000
303,2080.000000,-520.000000
304,2080.000000,-480.000000
305,2080.000000,-480.000000
306,2120.000000,-520.000000
307,2120.000000,-480.000000
308,2120.000000,-480.000000
309,2080.000000,-520.000000
310,2120.000000,-520.000000
311,2120.000000,-520.000000
312,2120.000000,-520.000000
313,2120.000000,-480.000000
314,2120.000000,-480.000000
315,2160.000000,-480.000000
316,2120.000000,-480.000000
317,2120.000000,-480.000000
318,2120.000000,-480.000000
319,2120.000000,-520.000000
320,2160.000000,-480.000000
321,2120.000000,-480.000000
322,2160.000000,-480.000000
323,2120.000000,-480.000000
324,2120.000000,-480.000000
325,2160.000000,-480.000000
326,2160.000000,-480.000000
327,2160.000000,-480.000000
328,2120.000000,-480.000000
329,2160.000000,-480.000000
330,2160.000000,-480.000000
331,2160.000000,-480.000000
332,2160.000000,-520.000000
333,2160.000000,-480.000000
334,2160.000000,-480.000000
335,2160.000000,-520.000000
336,2200.000000,-480.000000
337,2160.000000,-480.000000
338,2160.000000,-520.000000
339,2200.000000,-480.000000
340,2200.000000,-520.000000
341,2160.000000,-520.000000
342,2200.000000,-480.000000
343,2200.000000,-480.000000
344,2200.000000,-480.000000
345,2200.000000,-480.000000
346,2200.000000,-480.000000
347,2200.000000,-520.000000
348,2200.000000,-480.000000
349,2200.000000,-480.000000
350,2200.000000,-520.000000
351,2200.000000,-520.000000
352,2200.000000,-480.000000
353,2200.000000,-480.000000
354,2200.000000,-520.000000
355,2200.000000,-480.000000
356,2200.000000,-480.000000
357,2240.000000,-480.000000
358,2200.000000,-520.000000
359,2200.000000,-520.000000
360,2240.000000,-480.000000
361,2240.000000,-520.000000
362,2240.000000,-480.000000
363,2200.000000,-520.000000
364,2240.000000,-480.000000
365,2240.000000,-520.000000
366,2240.000000,-480.000000
367,2240.000000,-480.000000
368,2240.000000,-480.000000
369,2240.000000,-480.000000
370,2240.000000,-480.000000
371,2240.000000,-480.000000
372,2280.000000,-520.000000
373,2280.000000,-480.000000
374,2280.000000,-480.000000
375,2240.000000,-480.000000
376,2280.000000,-480.000000
377,2280.000000,-480.000000
378,2280.000000,-480.000000
379,2280.000000,-480.000000
380,2280.000000,-480.000000
381,2280.000000,-480.000000
382,2280.000000,-520.000000
383,2280.000000,-480.000000
384,2280.000000,-480.000000
385,2280.000000,-480.000000
