Record Length,2.500000e+03,,  -0.000025000000,  -2.80000,
Sample Interval,2.000000e-08,,  -0.000024980000,  -2.80000,
Trigger Point,1.250000000000e+03,,  -0.000024960000,  -3.20000,
,,,  -0.000024940000,  -2.80000,
,,,  -0.000024920000,  -3.20000,
,,,  -0.000024900000,  -3.20000,
Source,CH1,,  -0.000024880000,  -3.20000,
Vertical Units,V,,  -0.000024860000,  -3.20000,
Vertical Scale,1.000000e+01,,  -0.000024840000,  -3.20000,
Vertical Offset,2.000000e+01,,  -0.000024820000,  -3.60000,
Horizontal Units,s,,  -0.000024800000,  -4.00000,
Horizontal Scale,5.000000e-06,,  -0.000024780000,  -4.40000,
Pt Fmt,Y,,  -0.000024760000,  -4.00000,
Yzero,0.000000e+00,,  -0.000024740000,  -3.60000,
Probe Atten,1.000000e+01,,  -0.000024720000,  -4.00000,
Model Number,TBS1102B-EDU,,  -0.000024700000,  -4.40000,
Serial Number,C015494,,  -0.000024680000,  -4.40000,
Firmware Version,FV:v4.06,,  -0.000024660000,  -4.80000,
,,,-00.000024640000,  -4.40000,
,,,-00.000024620000,  -4.40000,
,,,-00.000024600000,  -4.80000,
,,,-00.000024580000,  -4.80000,
,,,-00.000024560000,  -4.80000,
,,,-00.000024540000,  -4.80000,
,,,-00.000024520000,  -5.20000,
,,,-00.000024500000,  -5.20000,
,,,-00.000024480000,  -5.60000,
,,,-00.000024460000,  -5.60000,
,,,-00.000024440000,  -5.60000,
,,,-00.000024420000,  -6.00000,
,,,-00.000024400000,  -5.60000,
,,,-00.000024380000,  -6.00000,
,,,-00.000024360000,  -5.60000,
,,,-00.000024340000,  -6.00000,
,,,-00.000024320000,  -6.40000,
,,,-00.000024300000,  -6.40000,
,,,-00.000024280000,  -7.20000,
,,,-00.000024260000,  -6.80000,
,,,-00.000024240000,  -6.40000,
,,,-00.000024220000,  -6.80000,
,,,-00.000024200000,  -6.80000,
,,,-00.000024180000,  -7.20000,
,,,-00.000024160000,  -7.60000,
,,,-00.000024140000,  -7.20000,
,,,-00.000024120000,  -7.20000,
,,,-00.000024100000,  -7.20000,
,,,-00.000024080000,  -7.60000,
,,,-00.000024060000,  -8.00000,
,,,-00.000024040000,  -8.00000,
,,,-00.000024020000,  -8.00000,
,,,-00.000024000000,  -8.00000,
,,,-00.000023980000,  -7.60000,
,,,-00.000023960000,  -8.40000,
,,,-00.000023940000,  -8.40000,
,,,-00.000023920000,  -8.40000,
,,,-00.000023900000,  -8.40000,
,,,-00.000023880000,  -8.40000,
,,,-00.000023860000,  -8.40000,
,,,-00.000023840000,  -8.80000,
,,,-00.000023820000,  -8.80000,
,,,-00.000023800000,  -9.20000,
